Date,Average Daily Wind Speed (mph),Precipitation (in),Average Relative Humidity (%),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
12/19/2013,13.87,0,81,62,77,53
12/20/2013,13.42,0,84,71,76,68
12/21/2013,11.86,0.56,97,58,74,45
12/22/2013,11.86,0,80,49,51,35
12/23/2013,6.49,0,70,39,52,30
12/24/2013,4.7,0,62,42,57,28
12/25/2013,3.8,0,85,44,53,37
12/26/2013,4.92,0,77,48,58,38
12/27/2013,4.47,0,69,50,60,42
12/28/2013,2.01,0,57,49,59,36
12/29/2013,6.71,0,71,48,59,37
12/30/2013,8.28,0,69,39,43,34
12/31/2013,3.13,0,64,40,49,36
1/1/2014,5.82,0,78,47,62,38
1/2/2014,13.42,0,57,46,54,32
1/3/2014,7.38,0,56,38,54,28
1/4/2014,13.65,0,75,51,70,39
1/5/2014,17.45,0,60,52,63,31
1/6/2014,11.18,0,50,29,34,21
1/7/2014,6.71,0,51,30,45,19
1/8/2014,11.41,0.1,89,45,53,40
1/9/2014,5.14,0.77,98,56,63,53
1/10/2014,10.29,0.14,95,63,67,58
1/11/2014,5.82,0,65,60,70,45
1/12/2014,9.62,0.01,62,53,70,42
1/13/2014,10.07,0,55,62,67,41
1/14/2014,6.04,0,46,50,69,34
1/15/2014,7.61,0,45,50,58,36
1/16/2014,7.61,0,51,50,67,35
1/17/2014,6.93,0,33,52,60,36
1/18/2014,5.59,0,56,48,67,35
1/19/2014,3.36,0,49,53,67,37
1/20/2014,10.29,0,66,56,76,44
1/21/2014,12.3,0,38,56,59,37
1/22/2014,5.37,0,49,46,65,31
1/23/2014,13.87,0.17,82,47,52,29
1/24/2014,7.61,0.05,74,30,35,26
1/25/2014,3.8,0,67,37,61,26
1/26/2014,9.4,0,58,55,71,46
1/27/2014,15.21,0,53,51,53,35
1/28/2014,12.08,0.05,58,34,40,27
1/29/2014,4.92,0,50,33,43,25
1/30/2014,12.97,0,69,41,60,28
1/31/2014,14.99,0,80,61,74,54
2/1/2014,11.18,0,85,67,71,58
2/2/2014,16.11,0.2,91,48,58,34
2/3/2014,8.5,0,85,38,44,34
2/4/2014,4.7,0.28,91,46,54,41
2/5/2014,14.32,0,71,41,43,31
2/6/2014,12.08,0.01,68,30,31,26
2/7/2014,6.71,0.01,83,31,37,28
2/8/2014,5.37,0,90,39,50,36
2/9/2014,7.38,0,85,50,67,44
2/10/2014,12.97,0.01,95,49,59,37
2/11/2014,13.2,0.05,83,36,39,33
2/12/2014,7.61,0,74,37,50,31
2/13/2014,5.37,0,69,43,62,29
2/14/2014,10.29,0,63,56,78,42
2/15/2014,8.5,0,45,56,70,41
2/16/2014,10.29,0,79,62,75,51
2/17/2014,7.61,0,70,69,79,61
2/18/2014,9.62,0,71,67,78,56
2/19/2014,13.42,0,78,69,79,62
2/20/2014,14.32,0,60,71,83,53
2/21/2014,6.26,0,45,56,66,38
2/22/2014,9.4,0,64,57,73,44
2/23/2014,4.7,0,78,66,79,60
2/24/2014,6.26,0,83,61,69,52
2/25/2014,7.16,0.01,96,64,72,51
2/26/2014,13.65,0.32,75,45,51,33
2/27/2014,5.59,0,60,40,53,29
2/28/2014,10.96,0,81,52,72,41
3/1/2014,12.08,0,83,68,80,63
3/2/2014,13.87,0.1,92,60,70,25
3/3/2014,16.33,0.07,75,27,32,22
3/4/2014,6.26,0.29,88,32,40,28
3/5/2014,5.14,0,83,41,52,36
3/6/2014,8.72,0,61,53,60,41
3/7/2014,8.5,0,71,49,65,36
3/8/2014,10.07,0.89,89,57,65,43
3/9/2014,6.71,0,86,45,55,40
3/10/2014,4.25,0,78,56,73,44
3/11/2014,9.4,0.01,82,62,73,56
3/12/2014,18.12,0,46,59,64,44
3/13/2014,6.26,0,49,51,65,36
3/14/2014,8.95,0,73,58,71,47
3/15/2014,7.61,0.19,95,65,68,62
3/16/2014,16.78,0,75,61,67,43
3/17/2014,8.72,0,54,49,63,39
3/18/2014,15.21,0,67,59,78,47
3/19/2014,8.72,0,53,63,70,51
3/20/2014,4.03,0,50,59,75,45
3/21/2014,10.96,0,76,63,78,51
3/22/2014,7.61,0,80,70,81,60
3/23/2014,13.65,0,76,60,62,51
3/24/2014,6.04,0,62,56,69,50
3/25/2014,9.17,0,47,57,68,45
3/26/2014,12.75,0,65,57,65,49
3/27/2014,12.97,0,91,64,72,60
3/28/2014,8.5,0.06,79,73,84,60
3/29/2014,9.62,0,56,63,76,49
3/30/2014,10.51,0,52,62,76,47
3/31/2014,12.97,0,71,65,80,54
4/1/2014,12.53,0,79,72,85,65
4/2/2014,17.45,0,80,75,84,70
4/3/2014,16.11,0,80,76,82,72
4/4/2014,13.2,0.23,48,67,73,55
4/5/2014,9.84,0,52,59,66,54
4/6/2014,8.95,0.3,88,57,60,52
4/7/2014,8.72,0.04,73,57,67,51
4/8/2014,11.86,0,57,60,73,49
4/9/2014,6.71,0,51,61,80,44
4/10/2014,14.76,0,64,69,83,57
4/11/2014,14.99,0,72,70,83,60
4/12/2014,15.88,0,73,72,84,65
4/13/2014,12.08,0,86,71,77,67
4/14/2014,15.43,0.65,77,64,74,43
4/15/2014,4.92,0,52,50,63,37
4/16/2014,10.51,0,60,54,69,42
4/17/2014,6.93,0.01,78,61,73,54
4/18/2014,6.04,0,69,66,78,59
4/19/2014,4.25,0,67,67,79,54
4/20/2014,8.28,0,67,69,80,59
4/21/2014,9.4,0,79,71,82,63
4/22/2014,5.37,0,69,73,85,63
4/23/2014,9.84,0,71,73,85,61
4/24/2014,9.62,0,75,74,84,67
4/25/2014,6.71,0,54,75,87,62
4/26/2014,12.75,0,80,74,82,67
4/27/2014,15.43,0,78,78,88,74
4/28/2014,8.28,0,44,80,89,67
4/29/2014,11.18,0,40,71,82,58
4/30/2014,9.84,0,44,63,71,50
5/1/2014,3.58,0,45,62,75,46
5/2/2014,5.14,0,41,66,82,51
5/3/2014,7.38,0,36,71,89,55
5/4/2014,11.41,0,38,74,89,57
5/5/2014,12.97,0,62,71,87,56
5/6/2014,13.87,0,68,74,88,63
5/7/2014,16.33,0,74,75,86,68
5/8/2014,14.76,1.78,90,75,79,69
5/9/2014,8.5,0.05,87,75,82,64
5/10/2014,10.74,0,78,72,88,62
5/11/2014,15.43,0,75,78,89,72
5/12/2014,13.65,1.77,85,79,85,66
5/13/2014,11.41,1.7,85,65,68,59
5/14/2014,13.2,0.14,66,62,72,54
5/15/2014,6.71,0,57,63,80,48
5/16/2014,11.86,0,49,70,84,56
5/17/2014,13.42,0,60,72,85,61
5/18/2014,10.96,0,69,73,84,64
5/19/2014,14.32,0,68,75,85,66
5/20/2014,14.32,0,67,78,88,71
5/21/2014,10.74,0,67,77,87,69
5/22/2014,9.17,0,69,77,88,67
5/23/2014,9.17,0,72,77,85,70
5/24/2014,8.5,0,73,77,88,68
5/25/2014,8.28,0,70,78,87,72
5/26/2014,8.5,0.48,90,74,81,67
5/27/2014,6.49,2.84,96,67,72,63
5/28/2014,5.37,0.25,81,72,83,66
5/29/2014,3.36,0,72,76,87,66
5/30/2014,5.37,0,71,79,90,70
5/31/2014,4.92,0,79,79,87,71
6/1/2014,5.37,0,75,79,89,71
6/2/2014,8.5,0,76,80,90,74
6/3/2014,7.16,0,76,80,90,73
6/4/2014,9.17,0,74,81,91,73
6/5/2014,9.62,0,75,81,91,73
6/6/2014,10.51,0,72,82,92,74
6/7/2014,9.62,0,70,82,93,74
6/8/2014,9.84,0,73,82,91,75
6/9/2014,11.41,0.48,83,78,84,68
6/10/2014,6.71,0,70,77,85,70
6/11/2014,5.14,0,68,79,92,67
6/12/2014,10.07,0.02,75,83,91,78
6/13/2014,5.37,0.08,72,83,92,75
6/14/2014,10.07,0,73,82,91,75
6/15/2014,11.86,0,71,83,93,76
6/16/2014,13.2,0,70,84,93,78
6/17/2014,12.97,0.02,71,84,93,78
6/18/2014,12.75,0,72,84,94,77
